JD 2024;…;…;…;…;…;…;…
JD 2023;116,4;107,8;+3,8;107,5;+3,3;107,0;+3,0
JD 2022;109,5;103,9;+2,0;104,1;+2,2;103,9;+2,4
JD 2021;103,0;101,9;+1,9;101,9;+1,9;101,5;+1,5
JD 2020;100,0;100,0;+2,2;100,0;+2,0;100,0;+2,0
JD 2019;99,4;97,8;+1,8;98,0;+1,9;98,0;+1,1
JD 2018;97,9;96,1;+1,7;96,2;+1,8;96,9;+1,1
JD 2017;96,0;94,5;+1,6;94,5;+1,6;95,8;+0,9
JD 2016;94,5;93,0;+1,3;93,0;+1,4;94,9;+1,1
JD 2015;94,0;91,8;+1,9;91,7;+1,9;93,9;+1,6
JD 2014;93,4;90,1;+1,6;90,0;+1,6;92,4;+1,2
JD 2013;92,6;88,7;+1,1;88,6;+1,1;91,3;+1,1
JD 2012;91,4;87,7;+0,8;87,6;+1,0;90,3;+0,6
JD 2011;89,8;87,0;+1,3;86,7;+1,3;89,8;+0,9
JD 2010;88,0;85,9;+1,3;85,6;+1,3;89,0;+0,9
JD 2009;87,1;84,8;+1,2;84,5;+1,1;88,2;+1,6
JD 2008;86,8;83,8;+1,6;83,6;+2,0;86,8;+0,7
JD 2007;84,6;82,5;+1,6;82,0;+1,6;86,2;+0,5
JD 2006;82,8;81,2;+1,5;80,7;+1,3;85,8;+2,9
JD 2005;81,4;80,0;+1,1;79,7;+1,1;83,4;+1,0
JD 2004;80,4;79,1;+1,4;78,8;+1,2;82,6;+2,9
JD 2003;79,0;78,0;+1,4;77,9;+1,6;80,3;+1,4
JD 2002;77,8;76,9;+2,3;76,7;+2,3;79,2;+1,0
JD 2001;76,6;75,2;+1,8;75,0;+1,9;78,4;+2,0
JD 2000;74,9;73,9;+1,7;73,6;+1,0;76,9;+4,2
JD 1999;73,6;72,7;+0,8;72,9;+0,8;73,8;+1,2
JD 1998;73,2;72,1;+1,1;72,3;+1,0;72,9;+1,7
JD 1997;72,5;71,3;+1,9;71,6;+1,7;71,7;+3,0
JD 1996;71,3;70,0;+2,2;70,4;+2,0;69,6;+3,3
JD 1995;70,5;68,5;+3,9;69,0;–;67,4;–
JD 1994;69,4;65,9;+4,3;–;–;–;–
JD 1993;67,6;63,2;+5,7;–;–;–;–
JD 1992;65,1;59,8;+4,7;–;–;–;–
JD 1991;62,8;57,1;+4,6;–;–;–;–
JD 1990;60,5;54,6;+4,0;–;–;–;–
JD 1989;58,7;52,5;+3,3;–;–;–;–
JD 1988;57,0;50,8;+3,0;–;–;–;–
JD 1987;56,1;49,3;+1,9;–;–;–;–
JD 1986;55,9;48,4;+2,3;–;–;–;–
JD 1985;55,8;47,3;+3,3;–;–;–;–
JD 1984;54,6;45,8;+3,2;–;–;–;–
JD 1983;53,4;44,4;+4,7;–;–;–;–
JD 1982;51,7;42,4;+6,3;–;–;–;–
JD 1981;49,0;39,9;+4,2;–;–;–;–
JD 1980;46,0;38,3;+3,8;–;–;–;–
JD 1979;43,7;36,9;+2,5;–;–;–;–
JD 1978;42,0;36,0;+2,6;–;–;–;–
JD 1977;41,0;35,1;+3,5;–;–;–;–
JD 1976;39,5;33,9;+4,3;–;–;–;–
JD 1975;37,9;32,5;+4,8;–;–;–;–
JD 1974;35,9;31,0;+4,4;–;–;–;–
JD 1973;33,7;29,7;+6,1;–;–;–;–
JD 1972;31,5;28,0;+5,3;–;–;–;–
JD 1971;29,9;26,6;+5,1;–;–;–;–
JD 1970;28,3;25,3;+3,7;–;–;–;–
JD 1969;27,4;24,4;+5,2;–;–;–;–
JD 1968;26,9;23,2;–;–;–;–;–
