Entwicklung der Wohnungsmieten (Basis 2020 = 100) in Baden-Württemberg seit 1968
Jahr/Monat;Verbraucherpreisindex für Baden-Württemberg;Nettokaltmiete1) und Wohnungsnebenkosten;;davon
;;;;Nettokaltmiete2);;Wasserversorgung u. a. Dienstl. für die Wohnung
;Index;Index;Veränderung zum Vorjahr;Index;Veränderung zum Vorjahr;Index;"Veränderung
zum Vorjahr"
;;;Prozent;;Prozent;;Prozent
JD 2024;…;…;…;…;…;…;…
Januar;117,4;109,3;+3,0;108,9;+2,7;109,8;+2,8
Februar;117,8;109,4;+2,5;109,0;+2,6;109,8;+2,8
März;118,4;109,5;+2,2;109,1;+2,3;109,9;+2,6
April;118,7;109,7;+2,3;109,6;+2,5;109,9;+2,7
Mai;118,9;109,9;+2,2;109,8;+2,2;110,4;+3,2
Juni;119,0;110,2;+1,8;110,0;+2,0;111,2;+3,9
Juli;119,4;110,2;+1,8;110,1;+2,0;111,2;+3,9
August;119,1;110,4;+1,8;110,2;+2,0;111,3;+4,0
1) Ab Januar 2020 einschließlich unterstellter Nettokaltmiete für selbstgenutztes Wohneigentum.
2) Tatsächlich gezahlte Nettokaltmiete.
"JD= Jahresdurchschnitt; arithmetisches Mittel aus den 12 Monatsergebnissen auf der jeweiligen Basis."
Seit 1995 werden die Untergruppen Nettokaltmiete und Wohnungsnebenkosten separat berechnet.
"Berechnung der Indexveränderung:
 Die Indexveränderung in Prozent ergibt sich nach der Formel: neuer Indexstand/alter Indexstand × 100 - 100"
Datenquelle: Verbraucherpreisindex für Baden-Württemberg.
© Statistisches Landesamt Baden-Württemberg, 2024
JD 2023;116,4;107,8;+3,8;107,5;+3,3;107,0;+3,0
Januar;113,8;106,1;+3,2;106,0;+2,9;106,8;+3,0
Februar;114,7;106,7;+3,6;106,2;+2,9;106,8;+2,9
März;115,7;107,1;+3,6;106,6;+3,0;107,1;+3,2
April;116,3;107,2;+3,5;106,9;+3,1;107,0;+3,1
Mai;116,4;107,5;+3,7;107,4;+3,5;107,0;+3,1
Juni;116,8;108,2;+4,3;107,8;+3,8;107,0;+3,1
Juli;117,0;108,3;+4,3;107,9;+3,7;107,0;+3,1
August;117,3;108,4;+4,3;108,0;+3,6;107,0;+3,1
September;117,5;108,5;+4,3;108,2;+3,6;107,0;+3,1
Oktober;117,5;108,6;+3,7;108,3;+3,1;107,0;+3,1
November;117,1;108,7;+3,5;108,4;+3,0;107,1;+2,5
Dezember;117,2;108,8;+3,4;108,7;+3,1;107,1;+2,3
1) Ab Januar 2020 einschließlich unterstellter Nettokaltmiete für selbstgenutztes Wohneigentum.
2) Tatsächlich gezahlte Nettokaltmiete.
"JD= Jahresdurchschnitt; arithmetisches Mittel aus den 12 Monatsergebnissen auf der jeweiligen Basis."
Seit 1995 werden die Untergruppen Nettokaltmiete und Wohnungsnebenkosten separat berechnet.
"Berechnung der Indexveränderung:
 Die Indexveränderung in Prozent ergibt sich nach der Formel: neuer Indexstand/alter Indexstand × 100 - 100"
Datenquelle: Verbraucherpreisindex für Baden-Württemberg.
